伊朗,COU
五角大楼,ORG
俄罗斯,COU
海上自卫队,ORG
美国,COU
国防部,ORG
10月24日,DAT
越南,COU
阿曼湾,LOC
华盛顿,GOV
伊斯兰革命卫队,MIL
阿曼海,LOC
谈判代表,TIT
副外长,TIT
德黑兰,GOV
驱逐舰,WAP
航母,WAP
印度,COU
海军,MIL
P15B型驱逐舰,WAP
印度洋,LOC
052D型驱逐舰,WAP
南昌号,WAP
山东舰,WAP
甘肃,LOC
舟曲,LOC
玉树,LOC
连队,MIL
连长,TIT
联勤保障部队,MIL
中士,TIT
军士长,TIT
汽车兵,MIL
下士,TIT
指挥长,TIT
营长,TIT
参谋,TIT
火箭军,MIL
南部战区,LOC
JMSDF,ORG
伊朗阿巴斯港,LOC
10月25日,DAT
快艇,WAP
武警,MIL
部长,TIT
大使馆,ORG
霍尔木兹海峡,LOC
谈判代表,TIT
奥地利,COU
维也纳,LOC
欧盟,ORG
副秘书长,TIT
欧盟对外行动署,ORG
国务院,ORG
发言人,TIT
负责人,TIT
特使,TIT
国家安全委员会,ORG
秘书,TIT
总统,TIT
陆军,MIL
米格-29,WAP
新疆,LOC
喀喇昆仑,LOC
空军,MIL
航空兵,MIL
中东,LOC
以色列,COU
叙利亚,COU
核武器,WAP
轰炸机,WAP
解放军,MIL
台军,MIL
上将,TIT
美军,COU
歼-16D,WAP
电战机,WAP
关岛,LOC
苏-27,WAP
舰载机,WAP
F35,WAP
歼20,WAP
第五代隐身舰载机,WAP
舰载固定翼预警机,WAP
歼15,WAP
总师,TIT
弹射版舰载机,WAP
隐身战机,WAP
F22,WAP
土耳其,COU
韩国,COU
英国,COU
法国,COU
F117,WAP
F35,WAP
FC31,WAP
AL31,WAP
F35C,WAP
FA18,WAP
超音速空对面导弹,WAP
苏57,WAP
巡航导弹,WAP
引导炸弹,WAP
预警机,WAP
99A主战坦克,WAP
04A步兵战车,WAP
炮兵,MIL
“中华复兴”号滚装船,WAP
滚装船,WAP
合成旅,WAP
“慧星”号,WAP
登陆艇,WAP
坦克,WAP
北欧,LOC
072型坦克登陆舰,WAP
两栖攻击舰,WAP
075两栖攻击舰,WAP
“美利坚”级两栖攻击舰,WAP
05式两栖步兵战车,WAP
无人机,WAP
装甲车,WAP
伞兵,MIL
苏联,ORG
捷克,COU
丹麦,COU
“歌迪亚海路”大型滚装船,WAP
阿富汗,COU
护卫舰,WAP
自由轮,WAP
055导弹驱逐舰,WAP
歼16,WAP
中东,LOC
伊拉克,COU
055型万吨驱逐舰,WAP
西太平洋,LOC
巡洋舰,WAP
综合补给舰,WAP
核潜艇,WAP
波斯湾,LOC
中途岛号,WAP
肯尼迪号,WAP
罗斯福号,WAP
F-14,WAP
A-6,WAP
A-7,WAP
F/A-18,WAP
萨克拉门托,WAP
威奇塔,WAP
“山东”舰,WAP
平甲板弹射型常规航母,WAP
纽约邮报,ORG
洛杉矶,LOC
联邦航空管理局,ORG
联邦调查局,ORG
台湾,LOC
中华航空公司,ORG
联邦军事技术合作局,ORG
S-500,WAP
航空母舰,WAP
施基利舰空导弹,WAP
道尔地空导弹,WAP
2S19式加榴炮,WAP
120毫米迫榴炮,WAP
82毫米自动迫击炮,WAP
300毫米龙卷风火箭炮,WAP
苏-30,WAP
56型科特林级驱逐舰,WAP
里加级护卫舰,WAP
3M54E俱乐部导弹,WAP
米格-21战斗机,WAP
T-54坦克,WAP
赛格反坦克导弹,WAP
红土地激光制导炮弹,WAP
BMP-3步战车,WAP
瓦良格号航母,WAP
黄蜂式云爆弹,WAP
图-160战略轰炸机,WAP
图-16轰炸机,WAP
北风之神战略核潜艇,WAP
亚森级攻击核潜艇,WAP
先锋高超音速导弹,WAP
亚尔斯,WAP
萨尔马特弹道导弹,WAP
RD170,WAP
RD180,WAP
RD191,WAP
洲际导弹,WAP
飞航式导弹,WAP
亚太,LOC
黑海,WAP
S500,WAP
S-300,WAP
S-400,WAP
F-35,WAP
发射井,WAP
美国科学家联合会,ORG
核弹,WAP
轻型多用途直升机,WAP
LUH,WAP
司令,TIT
“猎豹”直升机,WAP
“印度豹”直升机,WAP
卡-226T直升机,WAP
班加罗尔,LOC
印度斯坦航空公司,ORG
轻型攻击直升机,WAP
LCH,WAP
英国BAE,ORG
日本,COU
“伊丽莎白女王”级航空母舰,WAP
F-35,WAP
副总裁,TIT
首相,TIT
横须贺,LOC
“出云”号直升机航母,WAP
“加贺”号直升机航母,WAP
F-35B,WAP
柴电潜艇,WAP
P-3B反潜机,WAP
S-3A/B“维京人”反潜机,WAP
声纳浮标,WAP
SOSUS,WAP
声音监视系统,WAP
反潜武器,WAP
MK54,WAP
MK46,WAP
鱼雷,WAP
防空导弹,WAP
高射炮,WAP
AIP,WAP
不依赖空气推进,WAP
039A型,WAP
斯特林发动机AIP系统,WAP
参谋长,WAP
白宫,COU
河北,LOC
瑞士,LOC
SK单座,WAP
UBK双座,WAP
安徽,LOC
芜湖,LOC
苏-30,WAP
多用途战斗机,WAP
歼-11A,WAP
歼-11B,WAP
歼-16,WAP
歼-11B,WAP
歼-11BS,WAP
苏-33,WAP
T-10K-3,WAP
歼-15,WAP
步兵,MIL
侧卫,WAP
歼-11D,WAP
F-14,WAP
苏-35,WAP
南海,LOC
康涅狄格,WAP
印太,LOC
外交部,ORG
高超音速导弹,WAP
北约,ORG
朱姆沃尔特级驱逐舰,WAP
Block IIA型防空导弹,WAP
“海麻雀”防空导弹,WAP
战斧,WAP
标准-2,WAP
标准-6,WAP
“锆石”高超音速导弹,WAP
战略导弹部队,MIL
“汉弗莱营”基地,LOC
军士,TIT
远征维持司令部,ORG
启明星2号,WAP
军医,TIT
班长,TIT
步枪,WAP
SIG-716,WAP
AH-64D,WAP
T-90S,WAP
M-777,WAP
QBU-88,WAP
QBU-191,WAP
AK-203,WAP
因萨斯,WAP
VZ-58,WAP
内格夫,WAP
西格绍尔,WAP
81式,WAP
QBZ-191,WAP
QBZ-95,WAP
机枪,WAP
56式,WAP
步枪弹,WAP
NATO,WAP
M43,WAP
DBP-95,WAP
95式,WAP
委内瑞拉,COU
沙特,COU
P-15B,WAP
“维沙卡帕特南”级,WAP
 P-17A,WAP
MK-45,WAP
国防安全合作局,ORG
阿曼湾,LOC
酒泉卫星发射中心,LOC
长征二号,WAP
远征一号,WAP
遥感三十二号,WAP
国务卿,TIT
NASA,ORG
欧洲,LOC
吉林一号,WAP
地中海,LOC
黑海,LOC
“维克托”号,WAP
“圣保罗”号,WAP
土耳其,COU
中将,TIT
库兹涅佐夫号,WAP
克里姆林宫,GOV
莫斯科,LOC
白杨,WAP
匕首,WAP
撒旦,WAP
布拉瓦,WAP
B-21,WAP
